LAT,LONG
            45.233172,           -93.503803
            45.219378,           -93.561098
            45.219471,           -93.541960
            45.219560,           -93.522822
            45.219646,           -93.503683
            45.219729,           -93.484545
            45.219808,           -93.465407
            45.205451,           -93.637498
            45.205556,           -93.618365
            45.205658,           -93.599232
            45.205757,           -93.580098
            45.205852,           -93.560965
            45.205945,           -93.541831
            45.206034,           -93.522698
            45.206120,           -93.503564
            45.206203,           -93.484430
            45.206282,           -93.465296
            45.206358,           -93.446162
            45.206432,           -93.427028
            45.191817,           -93.656476
            45.191925,           -93.637347
            45.192030,           -93.618219
            45.192132,           -93.599090
            45.192231,           -93.579961
            45.192326,           -93.560832
            45.192419,           -93.541703
            45.192508,           -93.522574
            45.192594,           -93.503445
            45.192677,           -93.484315
            45.192756,           -93.465186
            45.192832,           -93.446057
            45.192905,           -93.426927
            45.192975,           -93.407797
            45.178399,           -93.637196
            45.178504,           -93.618072
            45.178606,           -93.598948
            45.178705,           -93.579824
            45.178801,           -93.560699
            45.178893,           -93.541575
            45.178982,           -93.522450
            45.179068,           -93.503325
            45.179150,           -93.484201
            45.179230,           -93.465076
            45.179306,           -93.445951
            45.179379,           -93.426826
            45.179449,           -93.407701
            45.179516,           -93.388576
            45.164874,           -93.637045
            45.164979,           -93.617926
            45.165081,           -93.598806
            45.165179,           -93.579686
            45.165275,           -93.560567
            45.165367,           -93.541447
            45.165456,           -93.522326
            45.165542,           -93.503206
            45.165624,           -93.484086
            45.165704,           -93.464966
            45.165780,           -93.445845
            45.165853,           -93.426725
            45.165923,           -93.407604
            45.165990,           -93.388484
            45.166053,           -93.369363
            45.151128,           -93.675125
            45.151240,           -93.656010
            45.151348,           -93.636895
            45.151453,           -93.617780
            45.151555,           -93.598665
            45.151653,           -93.579549
            45.151749,           -93.560434
            45.151841,           -93.541318
            45.151930,           -93.522203
            45.152016,           -93.503087
            45.152098,           -93.483972
            45.152178,           -93.464856
            45.152254,           -93.445740
            45.152327,           -93.426624
            45.152397,           -93.407508
            45.152463,           -93.388392
            45.152527,           -93.369276
            45.152587,           -93.350159
            45.152644,           -93.331043
            45.137488,           -93.694075
            45.137603,           -93.674965
            45.137714,           -93.655855
            45.137822,           -93.636744
            45.137927,           -93.617634
            45.138029,           -93.598523
            45.138127,           -93.579412
            45.138223,           -93.560301
            45.138315,           -93.541190
            45.138404,           -93.522079
            45.138490,           -93.502968
            45.138572,           -93.483857
            45.138651,           -93.464746
            45.138728,           -93.445635
            45.138801,           -93.426523
            45.138870,           -93.407412
            45.138937,           -93.388300
            45.139000,           -93.369188
            45.139061,           -93.350077
            45.139118,           -93.330965
            45.139171,           -93.311853
            45.123962,           -93.693911
            45.124077,           -93.674805
            45.124188,           -93.655700
            45.124296,           -93.636594
            45.124401,           -93.617488
            45.124503,           -93.598382
            45.124601,           -93.579275
            45.124697,           -93.560169
            45.124789,           -93.541063
            45.124878,           -93.521956
            45.124963,           -93.502849
            45.125046,           -93.483743
            45.125125,           -93.464636
            45.125201,           -93.445529
