station_id,stationname,date,daytype,rides
41240,Addison-O'Hare,2016-01-01,U,938
40010,Austin-Forest Park,2016-01-01,U,586
40060,Belmont-O'Hare,2016-01-01,U,2267
40570,California/Milwaukee,2016-01-01,U,2844
41410,Chicago/Milwaukee,2016-01-01,U,1923
40970,Cicero-Forest Park,2016-01-01,U,722
40380,Clark/Lake,2016-01-01,U,4981
40430,Clinton-Forest Park,2016-01-01,U,1097
40230,Cumberland,2016-01-01,U,1163
40590,Damen/Milwaukee,2016-01-01,U,5128
40320,Division/Milwaukee,2016-01-01,U,2995
40390,Forest Park,2016-01-01,U,1190
40490,Grand/Milwaukee,2016-01-01,U,1700
40980,Harlem-Forest Park,2016-01-01,U,355
40750,Harlem-O'Hare,2016-01-01,U,792
40810,Medical Center,2016-01-01,U,950
40550,Irving Park-O'Hare,2016-01-01,U,1645
40070,Jackson/Dearborn,2016-01-01,U,1908
41280,Jefferson Park,2016-01-01,U,2439
40250,Kedzie-Homan-Forest Park,2016-01-01,U,1186
41340,LaSalle,2016-01-01,U,815
41020,Logan Square,2016-01-01,U,3329
40790,Monroe/Dearborn,2016-01-01,U,1448
41330,Montrose-O'Hare,2016-01-01,U,868
40180,Oak Park-Forest Park,2016-01-01,U,379
40890,O'Hare Airport,2016-01-01,U,8124
40920,Pulaski-Forest Park,2016-01-01,U,1337
40470,Racine,2016-01-01,U,715
40820,Rosemont,2016-01-01,U,2410
40350,UIC-Halsted,2016-01-01,U,978
40370,Washington/Dearborn,2016-01-01,U,4172
40670,Western/Milwaukee,2016-01-01,U,2661
40220,Western-Forest Park,2016-01-01,U,704
41240,Addison-O'Hare,2016-01-02,A,1173
40010,Austin-Forest Park,2016-01-02,A,799
40060,Belmont-O'Hare,2016-01-02,A,2804
40570,California/Milwaukee,2016-01-02,A,2633
41410,Chicago/Milwaukee,2016-01-02,A,1635
40970,Cicero-Forest Park,2016-01-02,A,830
40380,Clark/Lake,2016-01-02,A,4749
40430,Clinton-Forest Park,2016-01-02,A,1456
40230,Cumberland,2016-01-02,A,1567
40590,Damen/Milwaukee,2016-01-02,A,4068
40320,Division/Milwaukee,2016-01-02,A,2700
40390,Forest Park,2016-01-02,A,1404
40490,Grand/Milwaukee,2016-01-02,A,1164
40980,Harlem-Forest Park,2016-01-02,A,447
40750,Harlem-O'Hare,2016-01-02,A,1180
40810,Medical Center,2016-01-02,A,744
40550,Irving Park-O'Hare,2016-01-02,A,2147
40070,Jackson/Dearborn,2016-01-02,A,2123
41280,Jefferson Park,2016-01-02,A,3100
40250,Kedzie-Homan-Forest Park,2016-01-02,A,1293
41340,LaSalle,2016-01-02,A,820
41020,Logan Square,2016-01-02,A,3673
40790,Monroe/Dearborn,2016-01-02,A,1936
41330,Montrose-O'Hare,2016-01-02,A,1013
40180,Oak Park-Forest Park,2016-01-02,A,529
40890,O'Hare Airport,2016-01-02,A,8909
40920,Pulaski-Forest Park,2016-01-02,A,1316
40470,Racine,2016-01-02,A,741
40820,Rosemont,2016-01-02,A,2754
40350,UIC-Halsted,2016-01-02,A,936
40370,Washington/Dearborn,2016-01-02,A,5257
40670,Western/Milwaukee,2016-01-02,A,2121
40220,Western-Forest Park,2016-01-02,A,764
41240,Addison-O'Hare,2016-01-03,U,915
40010,Austin-Forest Park,2016-01-03,U,599
40060,Belmont-O'Hare,2016-01-03,U,2249
40570,California/Milwaukee,2016-01-03,U,1866
41410,Chicago/Milwaukee,2016-01-03,U,1292
40970,Cicero-Forest Park,2016-01-03,U,697
40380,Clark/Lake,2016-01-03,U,3599
40430,Clinton-Forest Park,2016-01-03,U,1340
40230,Cumberland,2016-01-03,U,1330
40590,Damen/Milwaukee,2016-01-03,U,3000
40320,Division/Milwaukee,2016-01-03,U,2139
40390,Forest Park,2016-01-03,U,1160
40490,Grand/Milwaukee,2016-01-03,U,955
40980,Harlem-Forest Park,2016-01-03,U,367
40750,Harlem-O'Hare,2016-01-03,U,1015
40810,Medical Center,2016-01-03,U,744
40550,Irving Park-O'Hare,2016-01-03,U,1668
40070,Jackson/Dearborn,2016-01-03,U,1830
41280,Jefferson Park,2016-01-03,U,2585
40250,Kedzie-Homan-Forest Park,2016-01-03,U,1133
41340,LaSalle,2016-01-03,U,703
41020,Logan Square,2016-01-03,U,2642
40790,Monroe/Dearborn,2016-01-03,U,1324
41330,Montrose-O'Hare,2016-01-03,U,828
40180,Oak Park-Forest Park,2016-01-03,U,415
40890,O'Hare Airport,2016-01-03,U,9658
40920,Pulaski-Forest Park,2016-01-03,U,1230
40470,Racine,2016-01-03,U,568
40820,Rosemont,2016-01-03,U,2214
40350,UIC-Halsted,2016-01-03,U,826
40370,Washington/Dearborn,2016-01-03,U,3754
40670,Western/Milwaukee,2016-01-03,U,1639
40220,Western-Forest Park,2016-01-03,U,713
41240,Addison-O'Hare,2016-01-04,W,2874
40010,Austin-Forest Park,2016-01-04,W,1835
40060,Belmont-O'Hare,2016-01-04,W,5090
40570,California/Milwaukee,2016-01-04,W,4828
41410,Chicago/Milwaukee,2016-01-04,W,4307
40970,Cicero-Forest Park,2016-01-04,W,1337
40380,Clark/Lake,2016-01-04,W,19639
40430,Clinton-Forest Park,2016-01-04,W,4056
40230,Cumberland,2016-01-04,W,4196
40590,Damen/Milwaukee,2016-01-04,W,6224
40320,Division/Milwaukee,2016-01-04,W,6251
40390,Forest Park,2016-01-04,W,3300
40490,Grand/Milwaukee,2016-01-04,W,2577
40980,Harlem-Forest Park,2016-01-04,W,1114
40750,Harlem-O'Hare,2016-01-04,W,2737
40810,Medical Center,2016-01-04,W,2836
40550,Irving Park-O'Hare,2016-01-04,W,4059
40070,Jackson/Dearborn,2016-01-04,W,7220
41280,Jefferson Park,2016-01-04,W,6570
40250,Kedzie-Homan-Forest Park,2016-01-04,W,2245
41340,LaSalle,2016-01-04,W,2547
41020,Logan Square,2016-01-04,W,6664
40790,Monroe/Dearborn,2016-01-04,W,7348
41330,Montrose-O'Hare,2016-01-04,W,2227
40180,Oak Park-Forest Park,2016-01-04,W,1765
40890,O'Hare Airport,2016-01-04,W,10936
40920,Pulaski-Forest Park,2016-01-04,W,1833
40470,Racine,2016-01-04,W,2394
40820,Rosemont,2016-01-04,W,5401
40350,UIC-Halsted,2016-01-04,W,2789
40370,Washington/Dearborn,2016-01-04,W,11331
40670,Western/Milwaukee,2016-01-04,W,4974
40220,Western-Forest Park,2016-01-04,W,1622
41240,Addison-O'Hare,2016-01-05,W,2936
40010,Austin-Forest Park,2016-01-05,W,1891
40060,Belmont-O'Hare,2016-01-05,W,5262
40570,California/Milwaukee,2016-01-05,W,4969
41410,Chicago/Milwaukee,2016-01-05,W,4542
40970,Cicero-Forest Park,2016-01-05,W,1366
40380,Clark/Lake,2016-01-05,W,19968
40430,Clinton-Forest Park,2016-01-05,W,4080
40230,Cumberland,2016-01-05,W,4307
40590,Damen/Milwaukee,2016-01-05,W,6494
40320,Division/Milwaukee,2016-01-05,W,6320
40390,Forest Park,2016-01-05,W,3388
40490,Grand/Milwaukee,2016-01-05,W,2641
40980,Harlem-Forest Park,2016-01-05,W,1213
40750,Harlem-O'Hare,2016-01-05,W,2965
40810,Medical Center,2016-01-05,W,3254
40550,Irving Park-O'Hare,2016-01-05,W,4391
40070,Jackson/Dearborn,2016-01-05,W,7630
41280,Jefferson Park,2016-01-05,W,6706
40250,Kedzie-Homan-Forest Park,2016-01-05,W,2264
41340,LaSalle,2016-01-05,W,2705
41020,Logan Square,2016-01-05,W,7026
40790,Monroe/Dearborn,2016-01-05,W,7590
41330,Montrose-O'Hare,2016-01-05,W,2309
40180,Oak Park-Forest Park,2016-01-05,W,1781
40890,O'Hare Airport,2016-01-05,W,9679
40920,Pulaski-Forest Park,2016-01-05,W,1878
40470,Racine,2016-01-05,W,2517
40820,Rosemont,2016-01-05,W,5942
40350,UIC-Halsted,2016-01-05,W,2973
40370,Washington/Dearborn,2016-01-05,W,11539
40670,Western/Milwaukee,2016-01-05,W,5335
40220,Western-Forest Park,2016-01-05,W,1685
41240,Addison-O'Hare,2016-01-06,W,2958
40010,Austin-Forest Park,2016-01-06,W,1974
40060,Belmont-O'Hare,2016-01-06,W,5402
40570,California/Milwaukee,2016-01-06,W,5060
41410,Chicago/Milwaukee,2016-01-06,W,4407
