station_id,stationname,date,daytype,rides
40220,Western-Forest Park,2016-01-01,U,704
40220,Western-Forest Park,2016-01-02,A,764
40220,Western-Forest Park,2016-01-03,U,713
40220,Western-Forest Park,2016-01-04,W,1622
40220,Western-Forest Park,2016-01-05,W,1685
40220,Western-Forest Park,2016-01-06,W,1687
40220,Western-Forest Park,2016-01-07,W,1766
40220,Western-Forest Park,2016-01-08,W,1780
40220,Western-Forest Park,2016-01-09,A,921
40220,Western-Forest Park,2016-01-10,U,681
40220,Western-Forest Park,2016-01-11,W,1572
40220,Western-Forest Park,2016-01-12,W,1599
40220,Western-Forest Park,2016-01-13,W,1649
40220,Western-Forest Park,2016-01-14,W,1746
40220,Western-Forest Park,2016-01-15,W,1794
40220,Western-Forest Park,2016-01-16,A,979
40220,Western-Forest Park,2016-01-17,U,568
40220,Western-Forest Park,2016-01-18,W,797
40220,Western-Forest Park,2016-01-19,W,1680
40220,Western-Forest Park,2016-01-20,W,1773
40220,Western-Forest Park,2016-01-21,W,1718
40220,Western-Forest Park,2016-01-22,W,1783
40220,Western-Forest Park,2016-01-23,A,934
40220,Western-Forest Park,2016-01-24,U,710
40220,Western-Forest Park,2016-01-25,W,1733
40220,Western-Forest Park,2016-01-26,W,1776
40220,Western-Forest Park,2016-01-27,W,1843
40220,Western-Forest Park,2016-01-28,W,1821
40220,Western-Forest Park,2016-01-29,W,1830
40220,Western-Forest Park,2016-01-30,A,1069
40220,Western-Forest Park,2016-01-31,U,765
40220,Western-Forest Park,2016-02-01,W,1786
40220,Western-Forest Park,2016-02-02,W,1774
40220,Western-Forest Park,2016-02-03,W,1921
40220,Western-Forest Park,2016-02-04,W,1975
40220,Western-Forest Park,2016-02-05,W,1509
40220,Western-Forest Park,2016-02-06,A,1059
40220,Western-Forest Park,2016-02-07,U,719
40220,Western-Forest Park,2016-02-08,W,1740
40220,Western-Forest Park,2016-02-09,W,1683
40220,Western-Forest Park,2016-02-10,W,1714
40220,Western-Forest Park,2016-02-11,W,1709
40220,Western-Forest Park,2016-02-12,W,1624
40220,Western-Forest Park,2016-02-13,A,843
40220,Western-Forest Park,2016-02-14,U,685
40220,Western-Forest Park,2016-02-15,W,1076
40220,Western-Forest Park,2016-02-16,W,1749
40220,Western-Forest Park,2016-02-17,W,1790
40220,Western-Forest Park,2016-02-18,W,1821
40220,Western-Forest Park,2016-02-19,W,1955
40220,Western-Forest Park,2016-02-20,A,1222
